Georgia Department of Education
FTE Enrollment by Race/Ethnicity and Gender - Fiscal Year 2019-1 Data Report
"October 2, 2018 (FTE 2019-1)"
 
System ID, System Name,School ID,  Gender,  Ethnic Hispanic,  Race AmericanIndian,  Race Asian,  Race Black,  Race Pacific Islander,  Race White,  Two or more Races 
"603","Bacon County","0302-Bacon County High School","Male","45","*","*","50","*","197","*"
"603","Bacon County","0302-Bacon County High School","Total","72","*","*","103","*","397","*"
"603","Bacon County","3050-Bacon County Elementary School","Female","35","*","*","57","*","143","*"
"603","Bacon County","3050-Bacon County Elementary School","Male","40","*","*","51","*","141","*"
"603","Bacon County","3050-Bacon County Elementary School","Total","75","*","*","108","*","284","*"
"604","Baker County","0105-Baker County K12 School","Female","*","*","*","79","*","33","*"
"604","Baker County","0105-Baker County K12 School","Male","22","*","*","89","*","33","*"
"604","Baker County","0105-Baker County K12 School","Total","*","*","*","168","*","66","*"
"605","Baldwin County","0100-Oak Hill MS","Female","21","*","*","396","*","118","19"
"605","Baldwin County","0100-Oak Hill MS","Male","*","*","*","435","*","127","18"
"605","Baldwin County","0100-Oak Hill MS","Total","*","*","*","831","*","245","37"
"605","Baldwin County","0189-Baldwin High School","Female","*","*","*","452","*","147","16"
"605","Baldwin County","0189-Baldwin High School","Male","16","*","*","417","*","116","17"
"605","Baldwin County","0189-Baldwin High School","Total","*","*","*","869","*","263","33"
"605","Baldwin County","0300-Lakeview Academy","Female","16","*","*","217","*","74","*"
"605","Baldwin County","0300-Lakeview Academy","Male","*","*","*","218","*","105","*"
"605","Baldwin County","0300-Lakeview Academy","Total","*","*","*","435","*","179","*"
"605","Baldwin County","0301-Midway Hills Primary","Female","*","*","*","164","*","89","*"
"605","Baldwin County","0301-Midway Hills Primary","Male","*","*","*","182","*","85","17"
"605","Baldwin County","0301-Midway Hills Primary","Total","*","*","*","346","*","174","*"
"605","Baldwin County","0302-Lakeview Primary","Female","18","*","*","313","*","107","33"
"605","Baldwin County","0302-Lakeview Primary","Male","18","*","*","281","*","146","29"
"605","Baldwin County","0302-Lakeview Primary","Total","36","*","*","594","*","253","62"
"605","Baldwin County","0303-Midway Hills Academy","Female","*","*","*","175","*","85","16"
"605","Baldwin County","0303-Midway Hills Academy","Male","*","*","*","201","*","65","*"
"605","Baldwin County","0303-Midway Hills Academy","Total","*","*","*","376","*","150","*"
"606","Banks County","0105-Banks County Middle School","Female","34","*","*","*","*","285","*"
"606","Banks County","0105-Banks County Middle School","Male","34","*","*","*","*","310","*"
"606","Banks County","0105-Banks County Middle School","Total","68","*","*","*","*","595","*"
"606","Banks County","0107-Banks County Elementary School","Female","36","*","*","*","*","232","19"
"606","Banks County","0107-Banks County Elementary School","Male","26","*","*","*","*","264","*"
"606","Banks County","0107-Banks County Elementary School","Total","62","*","*","*","*","496","*"
"606","Banks County","0199-Banks County High School","Female","37","*","*","*","*","341","*"
"606","Banks County","0199-Banks County High School","Male","36","*","*","*","*","391","*"
"606","Banks County","0199-Banks County High School","Total","73","*","*","*","*","732","*"
"606","Banks County","0205-Banks County Primary School","Female","17","*","*","*","*","260","*"
"606","Banks County","0205-Banks County Primary School","Male","24","*","*","*","*","275","*"
"606","Banks County","0205-Banks County Primary School","Total","41","*","*","*","*","535","*"
"607","Barrow County","0101-Apalachee High School","Female","186","*","34","138","*","521","48"
"607","Barrow County","0101-Apalachee High School","Male","206","*","32","138","*","534","42"
"607","Barrow County","0101-Apalachee High School","Total","392","*","66","276","*","1055","90"
"607","Barrow County","0105-County Line Elementary School","Female","46","*","24","15","*","175","*"
"607","Barrow County","0105-County Line Elementary School","Male","59","*","*","22","*","179","21"
"607","Barrow County","0105-County Line Elementary School","Total","105","*","*","37","*","354","*"
"607","Barrow County","0106-Haymon-Morris Middle School","Female","87","*","*","66","*","245","18"
"607","Barrow County","0106-Haymon-Morris Middle School","Male","92","*","18","39","*","244","26"
"607","Barrow County","0106-Haymon-Morris Middle School","Total","179","*","*","105","*","489","44"
"607","Barrow County","0114-Bear Creek Middle School","Female","83","*","*","56","*","207","*"
"607","Barrow County","0114-Bear Creek Middle School","Male","64","*","16","48","*","234","*"
"607","Barrow County","0114-Bear Creek Middle School","Total","147","*","*","104","*","441","*"
"607","Barrow County","0189-Kennedy Elementary School","Female","100","*","17","89","*","198","36"
"607","Barrow County","0189-Kennedy Elementary School","Male","101","*","19","81","*","216","29"
"607","Barrow County","0189-Kennedy Elementary School","Total","201","*","36","170","*","414","65"
"607","Barrow County","0193-Bramlett Elementary School","Female","59","*","21","16","*","211","16"
"607","Barrow County","0193-Bramlett Elementary School","Male","42","*","31","22","*","247","20"
"607","Barrow County","0193-Bramlett Elementary School","Total","101","*","52","38","*","458","36"
"607","Barrow County","0198-Westside Middle School","Female","69","*","17","56","*","220","28"
"607","Barrow County","0198-Westside Middle School","Male","81","*","*","55","*","223","25"
"607","Barrow County","0198-Westside Middle School","Total","150","*","*","111","*","443","53"
"607","Barrow County","0205-Bethlehem Elementary School","Female","95","*","*","34","*","232","*"
"607","Barrow County","0205-Bethlehem Elementary School","Male","88","*","*","40","*","242","23"
"607","Barrow County","0205-Bethlehem Elementary School","Total","183","*","*","74","*","474","*"
"607","Barrow County","0289-Russell Middle School","Female","87","*","24","67","*","265","25"
"607","Barrow County","0289-Russell Middle School","Male","80","*","23","73","*","305","28"
"607","Barrow County","0289-Russell Middle School","Total","167","*","47","140","*","570","53"
"607","Barrow County","0298-Yargo Elementary School","Female","82","*","18","70","*","246","19"
"607","Barrow County","0298-Yargo Elementary School","Male","72","*","22","60","*","240","28"
"607","Barrow County","0298-Yargo Elementary School","Total","154","*","40","130","*","486","47"
"607","Barrow County","0299-Winder Elementary School","Female","57","*","15","79","*","167","22"
"607","Barrow County","0299-Winder Elementary School","Male","68","*","20","67","*","159","26"
"607","Barrow County","0299-Winder Elementary School","Total","125","*","35","146","*","326","48"
"607","Barrow County","1050-Auburn Elementary School","Female","58","*","21","23","*","199","25"
"607","Barrow County","1050-Auburn Elementary School","Male","69","*","25","18","*","223","29"
"607","Barrow County","1050-Auburn Elementary School","Total","127","*","46","41","*","422","54"
"607","Barrow County","3052-Winder-Barrow High School","Female","182","*","63","156","*","551","48"
"607","Barrow County","3052-Winder-Barrow High School","Male","190","*","66","140","*","636","36"
"607","Barrow County","3052-Winder-Barrow High School","Total","372","*","129","296","*","1187","84"
"607","Barrow County","4050-Holsenbeck Elementary School","Female","75","*","15","34","*","228","22"
"607","Barrow County","4050-Holsenbeck Elementary School","Male","76","*","17","30","*","231","15"
"607","Barrow County","4050-Holsenbeck Elementary School","Total","151","*","32","64","*","459","37"
"607","Barrow County","5050-Statham Elementary School","Female","65","*","*","55","*","216","26"
"607","Barrow County","5050-Statham Elementary School","Male","79","*","23","65","*","255","16"
"607","Barrow County","5050-Statham Elementary School","Total","144","*","*","120","*","471","42"
"608","Bartow County","0101-Woodland Middle School at Euharlee","Female","36","*","*","24","*","266","*"
"608","Bartow County","0101-Woodland Middle School at Euharlee","Male","24","*","*","31","*","303","16"
"608","Bartow County","0101-Woodland Middle School at Euharlee","Total","60","*","*","55","*","569","*"
"608","Bartow County","0104-Clear Creek Elementary School","Female","20","*","*","*","*","260","16"
"608","Bartow County","0104-Clear Creek Elementary School","Male","28","*","*","*","*","266","22"
"608","Bartow County","0104-Clear Creek Elementary School","Total","48","*","*","*","*","526","38"
"608","Bartow County","0105-Adairsville High School","Female","33","*","*","35","*","388","20"
"608","Bartow County","0105-Adairsville High School","Male","38","*","*","31","*","413","*"
"608","Bartow County","0105-Adairsville High School","Total","71","*","*","66","*","801","*"
"608","Bartow County","0106-Pine Log Elementary","Female","*","*","*","*","*","161","*"
"608","Bartow County","0106-Pine Log Elementary","Male","*","*","*","*","*","200","*"
"608","Bartow County","0106-Pine Log Elementary","Total","*","*","*","*","*","361","*"
"608","Bartow County","0107-Euharlee Elementary School","Female","23","*","*","27","*","180","*"
"608","Bartow County","0107-Euharlee Elementary School","Male","21","*","*","17","*","187","*"
"608","Bartow County","0107-Euharlee Elementary School","Total","44","*","*","44","*","367","*"
"608","Bartow County","0114-Cass High School","Female","134","*","16","111","*","447","37"
"608","Bartow County","0114-Cass High School","Male","117","*","19","127","*","475","34"
"608","Bartow County","0114-Cass High School","Total","251","*","35","238","*","922","71"
"608","Bartow County","0115-Cloverleaf Elementary","Female","58","*","*","55","*","196","24"
"608","Bartow County","0115-Cloverleaf Elementary","Male","58","*","*","55","*","198","18"
"608","Bartow County","0115-Cloverleaf Elementary","Total","116","*","*","110","*","394","42"
"608","Bartow County","0175-White Elementary School","Female","49","*","*","30","*","171","*"
"608","Bartow County","0175-White Elementary School","Male","36","*","*","50","*","177","20"
"608","Bartow County","0175-White Elementary School","Total","85","*","*","80","*","348","*"
"608","Bartow County","0177-Adairsville Elementary School","Female","*","*","*","28","*","277","29"
"608","Bartow County","0177-Adairsville Elementary School","Male","26","*","*","38","*","277","19"
"608","Bartow County","0177-Adairsville Elementary School","Total","*","*","*","66","*","554","48"
"608","Bartow County","0186-Mission Road Elementary School","Female","31","*","*","20","*","163","*"
"608","Bartow County","0186-Mission Road Elementary School","Male","34","*","*","19","*","176","*"
"608","Bartow County","0186-Mission Road Elementary School","Total","65","*","*","39","*","339","*"
"608","Bartow County","0190-Red Top Middle School","Female","63","*","*","31","*","196","16"
"608","Bartow County","0190-Red Top Middle School","Male","76","*","*","27","*","196","*"
"608","Bartow County","0190-Red Top Middle School","Total","139","*","*","58","*","392","*"
"608","Bartow County","0195-Cass Middle School","Female","81","*","*","66","*","290","24"
"608","Bartow County","0195-Cass Middle School","Male","94","*","*","75","*","303","25"
"608","Bartow County","0195-Cass Middle School","Total","175","*","*","141","*","593","49"
"608","Bartow County","0196-Allatoona Elementary School","Female","69","*","*","*","*","117","16"
"608","Bartow County","0196-Allatoona Elementary School","Male","76","*","*","*","*","129","*"
"608","Bartow County","0196-Allatoona Elementary School","Total","145","*","*","*","*","246","*"
"608","Bartow County","0198-Woodland High School","Female","102","*","*","57","*","539","20"
"608","Bartow County","0198-Woodland High School","Male","119","*","*","46","*","591","31"
"608","Bartow County","0198-Woodland High School","Total","221","*","*","103","*","1130","51"
"608","Bartow County","0296-Kingston Elementary School","Female","52","*","*","45","*","126","*"
"608","Bartow County","0296-Kingston Elementary School","Male","54","*","*","44","*","140","*"
"608","Bartow County","0296-Kingston Elementary School","Total","106","*","*","89","*","266","*"
"608","Bartow County","0301-Adairsville Middle School","Female","31","*","*","*","*","327","*"
"608","Bartow County","0301-Adairsville Middle School","Male","32","*","*","16","*","332","17"
"608","Bartow County","0301-Adairsville Middle School","Total","63","*","*","*","*","659","*"
"608","Bartow County","0377-Hamilton Crossing Elementary School","Female","46","*","*","16","*","165","17"
"608","Bartow County","0377-Hamilton Crossing Elementary School","Male","75","*","*","29","*","185","15"
"608","Bartow County","0377-Hamilton Crossing Elementary School","Total","121","*","*","45","*","350","32"
"608","Bartow County","0396-Taylorsville Elementary School","Female","28","*","*","*","*","201","*"
"608","Bartow County","0396-Taylorsville Elementary School","Male","21","*","*","*","*","209","18"
"608","Bartow County","0396-Taylorsville Elementary School","Total","49","*","*","*","*","410","*"
"608","Bartow County","2052-Emerson Elementary School","Female","23","*","*","*","*","138","*"
"608","Bartow County","2052-Emerson Elementary School","Male","36","*","*","15","*","168","*"
"608","Bartow County","2052-Emerson Elementary School","Total","59","*","*","*","*","306","*"
"609","Ben Hill County","0111-Ben Hill Elementary School","Female","36","*","*","156","*","129","*"
"609","Ben Hill County","0111-Ben Hill Elementary School","Male","39","*","*","164","*","166","16"
"609","Ben Hill County","0111-Ben Hill Elementary School","Total","75","*","*","320","*","295","*"
"609","Ben Hill County","0196-Ben Hill County Primary School","Female","37","*","*","176","*","186","*"
"609","Ben Hill County","0196-Ben Hill County Primary School","Male","45","*","*","191","*","194","*"
"609","Ben Hill County","0196-Ben Hill County Primary School","Total","82","*","*","367","*","380","*"
"609","Ben Hill County","0291-Fitzgerald High School","Female","55","*","*","167","*","171","15"
"609","Ben Hill County","0291-Fitzgerald High School","Male","53","*","*","167","*","181","*"
"609","Ben Hill County","0291-Fitzgerald High School","Total","108","*","*","334","*","352","*"
"609","Ben Hill County","0296-Ben Hill County Middle School","Female","56","*","*","167","*","124","*"
"609","Ben Hill County","0296-Ben Hill County Middle School","Male","48","*","*","165","*","143","*"
"609","Ben Hill County","0296-Ben Hill County Middle School","Total","104","*","*","332","*","267","*"
"610","Berrien County","0101-Berrien High School","Female","35","*","*","48","*","302","*"
"610","Berrien County","0101-Berrien High School","Male","41","*","*","56","*","291","*"
"610","Berrien County","0101-Berrien High School","Total","76","*","*","104","*","593","*"
"610","Berrien County","0106-Berrien Academy Performance Learning Center","Female","*","*","*","*","*","37","*"
"610","Berrien County","0106-Berrien Academy Performance Learning Center","Male","*","*","*","*","*","22","*"
"610","Berrien County","0106-Berrien Academy Performance Learning Center","Total","*","*","*","*","*","59","*"
"610","Berrien County","0194-Berrien Middle School","Female","35","*","*","64","*","278","*"
"610","Berrien County","0194-Berrien Middle School","Male","35","*","*","44","*","285","*"
"610","Berrien County","0194-Berrien Middle School","Total","70","*","*","108","*","563","*"
"610","Berrien County","0195-Berrien Elementary School","Female","28","*","*","43","*","255","*"
"610","Berrien County","0195-Berrien Elementary School","Male","26","*","*","35","*","272","20"
"610","Berrien County","0195-Berrien Elementary School","Total","54","*","*","78","*","527","*"
"610","Berrien County","5050-Berrien Primary School","Female","26","*","*","56","*","292","25"
"610","Berrien County","5050-Berrien Primary School","Male","34","*","*","64","*","313","20"
"610","Berrien County","5050-Berrien Primary School","Total","60","*","*","120","*","605","45"
"611","Bibb County","0103-Skyview Elementary School","Female","*","*","*","68","*","137","*"
"611","Bibb County","0103-Skyview Elementary School","Male","*","*","*","82","*","128","*"
"611","Bibb County","0103-Skyview Elementary School","Total","*","*","*","150","*","265","*"
"611","Bibb County","0104-Burdell Elementary School","Female","*","*","*","207","*","*","*"
"611","Bibb County","0104-Burdell Elementary School","Male","*","*","*","246","*","*","*"
"611","Bibb County","0104-Burdell Elementary School","Total","*","*","*","453","*","*","*"
"611","Bibb County","0105-Howard High School","Female","24","*","26","369","*","146","*"
"611","Bibb County","0105-Howard High School","Male","28","*","34","393","*","154","*"
"611","Bibb County","0105-Howard High School","Total","52","*","60","762","*","300","*"
"611","Bibb County","0108-Ballard Hudson Middle School","Female","*","*","*","312","*","*","*"
"611","Bibb County","0108-Ballard Hudson Middle School","Male","*","*","*","348","*","*","*"
"611","Bibb County","0108-Ballard Hudson Middle School","Total","*","*","*","660","*","*","*"
"611","Bibb County","0109-Bruce Elementary School","Female","*","*","*","210","*","*","*"
"611","Bibb County","0109-Bruce Elementary School","Male","*","*","*","180","*","*","*"
"611","Bibb County","0109-Bruce Elementary School","Total","*","*","*","390","*","*","*"
"611","Bibb County","0117-Academy For Classical Education","Female","31","*","64","139","*","609","22"
"611","Bibb County","0117-Academy For Classical Education","Male","24","*","69","126","*","602","19"
"611","Bibb County","0117-Academy For Classical Education","Total","55","*","133","265","*","1211","41"
"611","Bibb County","0186-Central High School","Female","*","*","*","520","*","26","*"
"611","Bibb County","0186-Central High School","Male","15","*","*","414","*","25","*"
"611","Bibb County","0186-Central High School","Total","*","*","*","934","*","51","*"
"611","Bibb County","0198-Westside High School","Female","20","*","*","511","*","30","*"
"611","Bibb County","0198-Westside High School","Male","21","*","*","502","*","42","*"
"611","Bibb County","0198-Westside High School","Total","41","*","*","1013","*","72","*"
"611","Bibb County","0203-Vineville Academy","Female","15","*","*","242","*","45","*"
"611","Bibb County","0203-Vineville Academy","Male","*","*","*","198","*","24","*"
"611","Bibb County","0203-Vineville Academy","Total","*","*","*","440","*","69","*"
"611","Bibb County","0204-Rutland High School","Female","51","*","*","213","*","192","*"
"611","Bibb County","0204-Rutland High School","Male","55","*","*","199","*","195","16"
"611","Bibb County","0204-Rutland High School","Total","106","*","*","412","*","387","*"
"611","Bibb County","0205-Howard Middle School","Female","32","*","15","347","*","79","*"
"611","Bibb County","0205-Howard Middle School","Male","32","*","15","342","*","118","*"
"611","Bibb County","0205-Howard Middle School","Total","64","*","30","689","*","197","*"
"611","Bibb County","0286-Northeast High School","Female","*","*","*","351","*","*","*"
"611","Bibb County","0286-Northeast High School","Male","*","*","*","341","*","*","*"
"611","Bibb County","0286-Northeast High School","Total","*","*","*","692","*","*","*"
"611","Bibb County","0298-Miller Magnet Middle School","Female","*","*","*","273","*","17","*"
"611","Bibb County","0298-Miller Magnet Middle School","Male","*","*","*","241","*","16","*"
"611","Bibb County","0298-Miller Magnet Middle School","Total","*","*","*","514","*","33","*"
"611","Bibb County","0305-Rutland Middle School","Female","53","*","*","171","*","138","16"
"611","Bibb County","0305-Rutland Middle School","Male","45","*","*","215","*","158","19"
"611","Bibb County","0305-Rutland Middle School","Total","98","*","*","386","*","296","35"
"611","Bibb County","0307-Price Academy","Female","*","*","*","*","*","*","*"
"611","Bibb County","0307-Price Academy","Male","*","*","*","*","*","*","*"
"611","Bibb County","0307-Price Academy","Total","*","*","*","*","*","*","*"
"611","Bibb County","0383-Williams Elementary School","Female","*","*","*","146","*","*","*"
"611","Bibb County","0383-Williams Elementary School","Male","*","*","*","180","*","*","*"
"611","Bibb County","0383-Williams Elementary School","Total","*","*","*","326","*","*","*"
"611","Bibb County","0386-Southwest High School","Female","*","*","*","440","*","*","*"
"611","Bibb County","0386-Southwest High School","Male","*","*","*","383","*","*","*"
"611","Bibb County","0386-Southwest High School","Total","*","*","*","823","*","*","*"
"611","Bibb County","0405-Rosa Taylor Elementary School","Female","*","*","*","194","*","42","15"
"611","Bibb County","0405-Rosa Taylor Elementary School","Male","19","*","*","238","*","53","15"
"611","Bibb County","0405-Rosa Taylor Elementary School","Total","*","*","*","432","*","95","30"
"611","Bibb County","0505-Weaver Middle School","Female","36","*","*","412","*","26","*"
"611","Bibb County","0505-Weaver Middle School","Male","26","*","*","390","*","25","*"
"611","Bibb County","0505-Weaver Middle School","Total","62","*","*","802","*","51","*"
"611","Bibb County","0605-Heritage Elementary School","Female","15","*","*","214","*","54","17"
"611","Bibb County","0605-Heritage Elementary School","Male","24","*","*","243","*","66","15"
"611","Bibb County","0605-Heritage Elementary School","Total","39","*","*","457","*","120","32"
"611","Bibb County","0705-Union Elementary School","Female","*","*","*","220","*","*","*"
"611","Bibb County","0705-Union Elementary School","Male","*","*","*","242","*","*","*"
"611","Bibb County","0705-Union Elementary School","Total","*","*","*","462","*","*","*"
"611","Bibb County","0805-Riley Elementary School","Female","*","*","*","153","*","*","*"
"611","Bibb County","0805-Riley Elementary School","Male","*","*","*","174","*","*","*"
"611","Bibb County","0805-Riley Elementary School","Total","*","*","*","327","*","*","*"
"611","Bibb County","1005-Brookdale Elementary School","Female","*","*","*","168","*","*","*"
"611","Bibb County","1005-Brookdale Elementary School","Male","*","*","*","166","*","*","*"
"611","Bibb County","1005-Brookdale Elementary School","Total","*","*","*","334","*","*","*"
"611","Bibb County","1050-Alexander II Magnet School","Female","*","*","*","184","*","27","*"
"611","Bibb County","1050-Alexander II Magnet School","Male","*","*","*","197","*","34","*"
"611","Bibb County","1050-Alexander II Magnet School","Total","*","*","*","381","*","61","*"
"611","Bibb County","1054-Bernd Elementary School","Female","*","*","*","201","*","*","*"
"611","Bibb County","1054-Bernd Elementary School","Male","*","*","*","202","*","15","*"
"611","Bibb County","1054-Bernd Elementary School","Total","*","*","*","403","*","*","*"
"611","Bibb County","1067-Porter Elementary School","Female","75","*","*","58","*","66","*"
"611","Bibb County","1067-Porter Elementary School","Male","71","*","*","57","*","66","*"
"611","Bibb County","1067-Porter Elementary School","Total","146","*","*","115","*","132","*"
"611","Bibb County","1105-Springdale Elementary School","Female","*","*","20","137","*","129","*"
"611","Bibb County","1105-Springdale Elementary School","Male","*","*","30","156","*","129","*"
"611","Bibb County","1105-Springdale Elementary School","Total","*","*","50","293","*","258","*"
"611","Bibb County","1205-Carter Elementary School","Female","*","*","*","159","*","34","*"
"611","Bibb County","1205-Carter Elementary School","Male","*","*","17","145","*","60","*"
"611","Bibb County","1205-Carter Elementary School","Total","*","*","*","304","*","94","*"
"611","Bibb County","1305-Lane Elementary School","Female","*","*","*","171","*","21","*"
"611","Bibb County","1305-Lane Elementary School","Male","*","*","*","168","*","28","*"
"611","Bibb County","1305-Lane Elementary School","Total","*","*","*","339","*","49","*"
"611","Bibb County","1306-Martin Luther King Jr Elementary School","Female","*","*","*","319","*","*","*"
"611","Bibb County","1306-Martin Luther King Jr Elementary School","Male","*","*","*","369","*","*","*"
"611","Bibb County","1306-Martin Luther King Jr Elementary School","Total","*","*","*","688","*","*","*"
"611","Bibb County","1307-Southfield Elementary School","Female","39","*","*","346","*","*","*"
"611","Bibb County","1307-Southfield Elementary School","Male","41","*","*","417","*","*","*"
"611","Bibb County","1307-Southfield Elementary School","Total","80","*","*","763","*","*","*"
"611","Bibb County","1309-Veterans Elementary School","Female","43","*","*","314","*","*","*"
"611","Bibb County","1309-Veterans Elementary School","Male","38","*","*","353","*","*","*"
"611","Bibb County","1309-Veterans Elementary School","Total","81","*","*","667","*","*","*"
"611","Bibb County","2060-Hartley Elementary School","Female","*","*","*","230","*","*","*"
"611","Bibb County","2060-Hartley Elementary School","Male","*","*","*","234","*","*","*"
"611","Bibb County","2060-Hartley Elementary School","Total","*","*","*","464","*","*","*"
"611","Bibb County","3060-Heard Elementary School","Female","17","*","*","94","*","155","*"
"611","Bibb County","3060-Heard Elementary School","Male","26","*","*","101","*","138","*"
"611","Bibb County","3060-Heard Elementary School","Total","43","*","*","195","*","293","*"
"611","Bibb County","3067-Ingram/Pye Elementary School","Female","*","*","*","187","*","*","*"
"611","Bibb County","3067-Ingram/Pye Elementary School","Male","*","*","*","236","*","*","*"
"611","Bibb County","3067-Ingram/Pye Elementary School","Total","*","*","*","423","*","*","*"
"611","Bibb County","5050-Appling Middle School","Female","*","*","*","279","*","*","*"
"611","Bibb County","5050-Appling Middle School","Male","*","*","*","296","*","*","*"
"611","Bibb County","5050-Appling Middle School","Total","*","*","*","575","*","*","*"
"612","Bleckley County","0105-Bleckley County High School","Female","19","*","*","86","*","238","*"
"612","Bleckley County","0105-Bleckley County High School","Male","*","*","*","77","*","226","*"
"612","Bleckley County","0105-Bleckley County High School","Total","*","*","*","163","*","464","*"
"612","Bleckley County","0112-Bleckley Middle School","Female","*","*","*","54","*","170","*"
"612","Bleckley County","0112-Bleckley Middle School","Male","*","*","*","75","*","174","*"
"612","Bleckley County","0112-Bleckley Middle School","Total","*","*","*","129","*","344","*"
"612","Bleckley County","0115-Bleckley County Success Academy","Female","*","*","*","*","*","18","*"
"612","Bleckley County","0115-Bleckley County Success Academy","Male","*","*","*","*","*","*","*"
"612","Bleckley County","0115-Bleckley County Success Academy","Total","*","*","*","*","*","*","*"
"612","Bleckley County","0197-Bleckley County Elementary School","Female","*","*","*","67","*","206","*"
"612","Bleckley County","0197-Bleckley County Elementary School","Male","*","*","*","90","*","196","*"
"612","Bleckley County","0197-Bleckley County Elementary School","Total","*","*","*","157","*","402","*"
"612","Bleckley County","1050-Bleckley County Primary School","Female","*","*","*","83","*","247","*"
"612","Bleckley County","1050-Bleckley County Primary School","Male","*","*","*","100","*","250","15"
"612","Bleckley County","1050-Bleckley County Primary School","Total","*","*","*","183","*","497","*"
"613","Brantley County","0101-Waynesville Primary School","Female","*","*","*","*","*","189","*"
"613","Brantley County","0101-Waynesville Primary School","Male","*","*","*","*","*","200","*"
"613","Brantley County","0101-Waynesville Primary School","Total","*","*","*","*","*","389","*"
"613","Brantley County","0110-Atkinson Elementary School","Female","*","*","*","*","*","95","*"
"613","Brantley County","0110-Atkinson Elementary School","Male","*","*","*","*","*","136","*"
"613","Brantley County","0110-Atkinson Elementary School","Total","*","*","*","*","*","231","*"
"613","Brantley County","0194-Brantley County Middle School","Female","*","*","*","*","*","209","*"
"613","Brantley County","0194-Brantley County Middle School","Male","*","*","*","*","*","231","*"
"613","Brantley County","0194-Brantley County Middle School","Total","*","*","*","*","*","440","*"
"613","Brantley County","0294-Nahunta Elementary School","Female","*","*","*","*","*","123","*"
"613","Brantley County","0294-Nahunta Elementary School","Male","*","*","*","*","*","124","*"
"613","Brantley County","0294-Nahunta Elementary School","Total","*","*","*","*","*","247","*"
